################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.6294860048354698E-01 a         1     0     1     1     1
  1.8768598452741475E-01 a         2     0     1     1     2
 -1.6834723062446325E-01 a         3     0     1     1     3
 -4.1531478679053963E-02 a         4     0     1     1     4
 -3.4709896985312821E-01 a         5     0     1     1     5
 -1.1775984937139714E-01 a         6     0     1     1     6
 -1.9716836755041936E-01 a         7     0     1     1     7
  1.5986396704870912E-01 a         8     0     1     1     8
  7.8973663948809047E-01 a         9     0     1     1     9
  5.1014073581964123E-02 a        10     0     1     1    10
 -3.9371947035308219E-01 a        11     0     1     1    11
  2.3194251960673118E-01 a        12     0     1     1    12
  2.4879858264160889E-02 a        13     0     1     1    13
 -1.4237181327089654E-01 a        14     0     1     1    14
  1.5431825494175153E-01 a        15     0     1     1    15
  1.5889620979635033E-01 a        16     0     1     1    16
  1.0244298081846324E-01 a        17     0     1     1    17
 -4.3071373351122699E-01 a        18     0     1     1    18
  2.8124121509133826E-01 a        19     0     1     1    19
  8.0309433541225536E-02 a        20     0     1     1    20
 -4.5596928737118896E-02 a        21     0     1     1    21
  8.2484237102864594E-02 a        22     0     1     1    22
 -1.5495331685744398E-01 a        23     0     1     1    23
 -1.5527879457247420E-02 a        24     0     1     1    24
  9.8564783548778567E-02 a        25     0     1     1    25
 -1.4124466911352912E-01 a        26     0     2     1     1
  2.1121203544742482E-02 a        27     0     2     1     2
 -7.1956446472080604E-02 a        28     0     2     1     3
  9.5346158273369799E-02 a        29     0     2     1     4
 -6.3145285123907977E-02 a        30     0     2     1     5
 -1.6133664544329462E-02 a        31     0     2     1     6
  3.7741989370690923E-03 a        32     0     2     1     7
 -1.2703939356768013E-01 a        33     0     2     1     8
  6.8164473590626839E-03 a        34     0     2     1     9
 -1.7840890228633091E-01 a        35     0     2     1    10
  9.3013802316895253E-02 a        36     0     2     1    11
 -1.0158672064419048E-01 a        37     0     2     1    12
 -1.0958754480988514E-01 a        38     0     2     1    13
  2.6695499694179524E-03 a        39     0     2     1    14
 -1.5492826388781734E-02 a        40     0     2     1    15
 -2.4369845370326069E-03 a        41     0     2     1    16
  4.5932619137411063E-02 a        42     0     2     1    17
  1.8969039850943401E-01 a        43     0     2     1    18
  8.6849401532262990E-02 a        44     0     2     1    19
 -5.9879445659279634E-02 a        45     0     2     1    20
 -7.3976362882699015E-02 a        46     0     2     1    21
  8.5672003314946357E-02 a        47     0     2     1    22
 -5.5470758716947885E-02 a        48     0     2     1    23
 -9.3006312430412574E-02 a        49     0     2     1    24
 -2.5517314324161891E-02 a        50     0     2     1    25
  1.6739507737606846E-01 a        51     0     3     1     1
 -1.4014785946636801E-01 a        52     0     3     1     2
 -1.3629213156714179E-02 a        53     0     3     1     3
 -1.1812972417807194E-01 a        54     0     3     1     4
  1.5912390845496280E-01 a        55     0     3     1     5
  7.6330082496317439E-02 a        56     0     3     1     6
  4.7552463942894259E-02 a        57     0     3     1     7
 -7.7944549560672177E-02 a        58     0     3     1     8
  1.0886084277208108E-01 a        59     0     3     1     9
  1.3188097874093252E-02 a        60     0     3     1    10
 -1.4070021900441779E-01 a        61     0     3     1    11
  1.6405981174281092E-01 a        62     0     3     1    12
 -1.4233044434675574E-01 a        63     0     3     1    13
 -9.6271430895861265E-02 a        64     0     3     1    14
 -8.9028949259051970E-02 a        65     0     3     1    15
 -4.7314041454268589E-02 a        66     0     3     1    16
  5.0662341707403725E-02 a        67     0     3     1    17
 -4.0648258084483718E-02 a        68     0     3     1    18
 -1.8421079359815923E-01 a        69     0     3     1    19
 -7.5000269784206916E-02 a        70     0     3     1    20
  4.9673592925611104E-02 a        71     0     3     1    21
  1.8015712393433303E-01 a        72     0     3     1    22
 -1.1552695398859521E-01 a        73     0     3     1    23
 -4.0268072764890264E-02 a        74     0     3     1    24
  3.0098140978652082E-02 a        75     0     3     1    25
  5.0669646040166910E-02 a        76     0     4     1     1
  1.8654650983107271E-01 a        77     0     4     1     2
  1.2312323293701391E-01 a        78     0     4     1     3
 -1.3198489619404336E-01 a        79     0     4     1     4
  5.0230635892406714E-02 a        80     0     4     1     5
 -3.1181477454332852E-02 a        81     0     4     1     6
 -2.6486357630912550E-02 a        82     0     4     1     7
 -1.5546752018949264E-01 a        83     0     4     1     8
  6.0879295255119675E-02 a        84     0     4     1     9
  1.2240533402846049E-01 a        85     0     4     1    10
 -6.9561790297196488E-02 a        86     0     4     1    11
 -1.8178037922924833E-01 a        87     0     4     1    12
 -7.3112026271165240E-02 a        88     0     4     1    13
 -4.5237804766664308E-02 a        89     0     4     1    14
 -1.0708389472772274E-01 a        90     0     4     1    15
 -1.4030821068499875E-02 a        91     0     4     1    16
 -7.2144323305063554E-02 a        92     0     4     1    17
 -5.2675810878233677E-02 a        93     0     4     1    18
